292|A PATROL OF GIANTS LED BY A HUMAN FIGHTER|ПАТРУЛЬ ГИГАНТОВ, СВЯЗАННЫЙ БОРЬБОМ-ЧЕЛОВЕКОМ
340|LEAVE|ПОКИНУТЬ
341|THE WOMAN SAYS 'TYRANTHRAXUS IS LEADING OUR MEN TO THEIR DEATHS. IF YOU INTEND TO KILL HIM WE WILL HELP. USE THESE CLOTHES AS A DISGUISE AND YOU WILL ESCAPE NOTICE.|ЖЕНЩИНА ГОВОРИТ: ТИРАНТРАКС ВЕДЕТ НАШИХ МУЖЧИН К СМЕРТИ. ЕСЛИ ВЫ СОБИРАЕТЕСЬ УБИТЬ ЕГО, МЫ ПОМОЖЕМ. ИСПОЛЬЗУЙТЕ ЭТУ ОДЕЖДУ В КАЧЕСТВЕ УКАЗАНИЯ, И ВЫ УБЕЖИТЕ УВЕДОМЛЕНИЯ.
342|WILL YOU USE THE CLOTHING AS A DISGUISE?|БУДЕШЬ ЛИ ВЫ ИСПОЛЬЗОВАТЬ ОДЕЖДУ В КАЧЕСТВЕ ЗАКАЗА?
343|PILED UP OUT OF THE WAY ARE AN ASSORTMENT OF WEAPONS AND ARMOR. |НА ДОРОГЕ СОБИРАЕТСЯ АССОРТИМЕНТ ОРУЖИЯ И Доспехов.
344|'I'M SORRY, I CAN'T TAKE ANYMORE ORDERS JUST NOW. IF IT'S IMPORTANT GET AUTHORIZATION. NOW IF YOU'LL EXCUSE ME I HAVE TO GET BACK TO WORK'|ИЗВИНИТЕ, Я НЕ МОГУ ПРИНИМАТЬ БОЛЬШЕ ЗАКАЗОВ ПРОСТО СЕЙЧАС. ЕСЛИ ЭТО ВАЖНО ПОЛУЧИТЕ РАЗРЕШЕНИЕ. СЕЙЧАС, ЕСЛИ ВЫ ИЗВИНИТЕ МЕНЯ, Я ДОЛЖЕН ВЕРНУТЬСЯ К РАБОТЕ
345|WHAT? EVERYONE KNOWS THAT... HEY, YOU DON'T BELONG HERE!|КАКИЕ? ВСЕ ЗНАЕТ, ЧТО ... ЭЙ, ТЫ НЕ ПРИНАДЛЕЖИВАЕМСЯ ЗДЕСЬ!
346|YOU GO FORWARD AND KNEEL. 'IN THE NAME OF LORD BANE, GOD OF GODS, I BLESS YOU.'|ВЫ ИДЕТЕ ВПЕРЕД И НА КОЛЕНАХ. "ИМЯ ГОСПОДА БЕЙНА, БОГА БОГА, БЛАГОСЛОВЛЯЮ ТЕБЯ".
347| DOUBLES UP IN AGONY.| Удваивается в агонии.
348|THE PRIEST SHOUTS, 'WHAT'S THIS? YOU AREN'T WORSHIPPERS OF LORD BANE! DIE IMPOSTERS!' HE GRABS THE LAST RHINESTONE FROM A NECKLACE AND THROWS IT AT YOU. A FIREBALL EXPLODES!|ЖРЕЦ КРИЧИТ: "ЧТО ЭТО? ВЫ НЕ ПОКЛОНЯЮЩИЕСЯ ГОСПОДУ БЕЙНУ! УМЕРЕТЬ ИМПОСТЕРЫ! ' ОН ХРАТАЕТ ПОСЛЕДНИЙ СТРАЗ С ОЖЕРЕЛЬЯ И БРОСАЕТ ЕГО В ВАС. ПОЖАРНЫЙ ШАР ВЗРЫВАЕТСЯ!
349|THEY ATTACK YOU.|ОНИ НАПАДАЮТ НА ВАС.
350|'I HAVE NO MORE TIME TO TALK WITH YOU, THE LORD BANE REQUIRES MY CONSTANT DEVOTION. COME, BEFORE YOU LEAVE ACCEPT THE BLESSING OF OUR LORD.|"У меня нет больше времени, чтобы поговорить с вами, ГОСПОДЬ БЕЙН ТРЕБУЕТ МОЕЙ ПОСТОЯННОЙ ПРЕДАННОСТИ. ПРИХОДИТЕ, ПРЕЖДЕ ЧЕМ ВЫ УЙДИТЕ, ПРИНИМАЙТЕ БЛАГОСЛОВЕНИЕ НАШЕГО ГОСПОДА.
351|DO YOU TAKE IT?|ВЫ ПРИНИМАЕТЕ?
352|YES|ДА
353|NO|НЕТ
354| | 
355|. THE LEADER SEES YOU. 'THAT'S THEM!'|. ЛИДЕР ВАС ВИДЕТ. 'ЭТО ОНИ!'
356|THEY ADVANCE, WEAPONS READY|ОНИ ВПЕРЕДИ, ОРУЖИЕ ГОТОВО
357|YOU SEE A|ВЫ ВИДИТЕ
358|'WHAT ARE YOU DOING HERE?'|'ЧТО ТЫ ЗДЕСЬ ДЕЛАЕШЬ?'
359|THE LEADER ADVANCES.|ЛИДЕР ПРОДВИГАЕТСЯ.
360|WHAT ARE YOU DOING HERE?|ЧТО ТЫ ЗДЕСЬ ДЕЛАЕШЬ?
361|'ALL RIGHT, THEN. WHAT IS TODAY'S PASSWORD?'|'ТОГДА ВСЕ В ПОРЯДКЕ. ЧТО ТАКОЕ СЕГОДНЯ ПАРОЛЬ?
362|HARASH|ХАРАШ
363|'I'M SORRY, SIR, THERE'S AN ALERT. ON WHOSE AUTHORITY ARE YOU HERE?'|"Я ИЗВИНЯЮСЬ, СЭР, ЕСТЬ ТРЕВОГА. В КАКОЙ ВЛАСТИ ВЫ ЗДЕСЬ?
364|'WELL BOYS, I THINK WE HAVE THE INTRUDERS HERE. GET THEM!'|"НУ, МАЛЬЧИКИ, Я ДУМАЮ, У НАС ЗДЕСЬ ЕСТЬ ИНТРУДЕРЫ. ВЗЯТЬ ИХ!'
365|WITH A NOD OF THE HEAD YOU ARE LEFT ALONE.|Кивнув головой, вы остаетесь одни.
366|AMID THEIR PROTESTS YOU TIE THEM UP. THESE PROTESTS DIMINSH IN VOLUME AS YOU GAG THE WOMEN AND HIDE THEM IN A CORNER.|ПОСРЕДИ ИХ ПРОТЕСТОВ ВЫ СВЯЗЫВАЕТЕ ИХ. ЭТИ ПРОТЕСТЫ УМЕНЬШАЮТСЯ В ОБЪЕМЕ, ПОТОМУ ЧТО ВЫ ЗАЖИМАЕТЕ ЖЕНЩИН И СПРЯТИТЕ ИХ В УГОЛ.
367|THE WOMEN SHRIEK AND FLEE BEFORE YOU AS YOU CHOP THEM DOWN. THE HALF-ORC WOMAN WITH HATE IN HER EYES SNARLS 'HEROES! HAH!' THEN HER EYES GLAZE AS SHE DIES.|ЖЕНЩИНЫ кричат ​​и убегают раньше вас, когда вы их сбиваете. ЖЕНЩИНА-ПОЛУОРКА, НЕНАВИВАЮЩАЯ В ГЛАЗАХ, ГЕРОЯМ! АА! ЗАТЕМ ЕЕ ГЛАЗА ЗАСТЕЛЯЮТСЯ, КАК ОНА УМИРАЕТ.
368|IT SEEMS THAT THEIR SCREAMS WERE HEARD...|КАЖЕТСЯ, ЧТО СЛЫШАЛИ ИХ КРИКИ ...
369|'HIS IMMENSITY, TYRANTHRAXUS, HAS SEEN FIT TO ESTABLISH THIS TEMPLE TO OUR LORD BANE. THEREFORE IT IS RIGHT THAT YOU ACCEPT THE LORD BANE'S BLESSING.'|"ЕГО НЕПОДВИЖНОСТЬ, ТИРАНТРАКС, СМОТРЕЛА УСТАНОВИТЬ ЭТОТ ХРАМ НАШЕМУ ГОСПОДУ БЕЙНУ. ПОЭТОМУ ВЫ ПРИНИМАЕТЕ БЛАГОСЛОВЕНИЕ ГОСПОДА БЕЙНА - ПРАВИЛЬНО ".
370|AN ALARM STARTS RINGING!|ТРЕВОГА НАЧИНАЕТ ЗВОНИТЬ!
371|'WHAT? I THINK THESE SCUM ARE IMPOSTERS!'|'КАКИЕ? Я ДУМАЮ, ЭТИ ПОДНИЗЬИ - САМОУБИЛЬНИКИ!
