136|YOU SENSE AN ANTI-MAGIC SHELL AROUND YOU.|ВЫ ЧУВСТВУЕТЕ АНТИМАГИЧЕСКУЮ ОБОЛОЧКУ ВОКРУГ.
147|A GROUP OF LIZARD MEN SLITHER OUT OF THE WATER AND THROW JAVELINS AT YOU. |Группа людей-ящериц выскальзывает из воды и кидает в вас джавелины.
148|THEY TURN TO DIVE BACK IN THE WATER.|ОНИ ОБРАЩАЮТСЯ, ЧТОБЫ НЫРЯТЬСЯ В ВОДУ.
149|BEFORE YOU CAN REACT THEY TURN AND DIVE BACK INTO THE WATER.|ПРЕЖДЕ ЧЕМ ВЫ МОЖЕТЕ ОТРЕАГИРОВАТЬ, ОНИ ОБРАЩАЮТСЯ И НЫРЯЮТСЯ В ВОДУ.
150|AHEAD OF YOU IS A MOAT FILLED WITH SLUDGE AND THORNS. YOU CANNOT PROCEED BECAUSE THE MUD WOULD SURELY DRAG YOU DOWN TO YOUR DEATH.|ПЕРЕД ВАМИ РОВ, ЗАПОЛНЕННЫЙ ИЛИ И ШИПАМИ. ВЫ НЕ МОЖЕТЕ ПРОДОЛЖИТЬ, ПОТОМУ ЧТО ГРЯЗЬ УТОЧНЯЕТ ВАС НА СМЕРТЬ.
151|THE TUNNEL BEGINS TO SLOPE UP.|ТУННЕЛЬ НАЧИНАЕТ УКЛЫВАТЬСЯ.
152| DO YOU GO UP?| ВЫ ИДЕТЕ?
153|YOU FIND A SET OF STAIRS LEADING UP.|ВЫ НАЙДЕТЕ ВЕДУЩИЕ ЛЕСТНИЦЫ.
154|AN OLD LIZARDMAN APPEARS BEFORE YOU, HAND RAISED IN A GESTURE OF PEACE.|ПЕРЕД ВАМИ ПРЕДСТАВЛЯЕТСЯ СТАРЫЙ ЯЩЕРД, ПОДНЯТОЙ РУКОЙ В ЖЕСТЕ МИРА.
155|HE LOOKS AT YOU PATIENTLY.|ОН СМОТРИТ НА ВАС ТЕРПЕЖНО.
156|YOU LASH OUT WITH YOUR WEAPON DEALING ONE SWIFT, DEADLY BLOW. THE OLD LIZARD MAN TOTTERS FOR A MOMENT WITH A SURPRISED LOOK ON HIS FACE, AND THEN COLLAPSES.|ВЫ НАБИВАЕТЕ ОРУЖИЕМ, СДЕЛАВАЯ ОДИН СМЕРТЕЛЬНЫЙ УДАР. СТАРЫЙ ЧЕЛОВЕК-ЯЩЕРИЦА НА МГНОВЕНИИ С УДИВЛЕННЫМ ВЗГЛЯДОМ НА ЛИЦО, А ЗАТЕМ СРАЖАЕТСЯ.
157|YOU FIND AN OLD AND PARTIALLY BLOCKED SET OF STAIRS LEADING DOWN INTO THE DARK. DO YOU TAKE THEM?|ВЫ НАЙДЕТЕ СТАРЫЙ И ЧАСТИЧНО ЗАБЛОКИРОВАННЫЕ ЛЕСТНИЦЫ, ВЕДУЩИЕ В ТЕМНОМУ. ВЫ ИХ ПРИНИМАЕТЕ?
158|RUBBLE|РУБЛЕЙ
159|SWAMP|БОЛОТО
160|YES|ДА
161|NO|НЕТ
162| | 
163| DO YOU TAKE IT?| ВЫ ПРИНИМАЕТЕ?
164|YES|ДА
165|NO|НЕТ
166| | 
167|YOU ARE IN FRONT OF A DEEP POOL OF WATER. DO YOU WISH TO DIVE IN AND SEARCH IT?|ВЫ НАХОДИТЕСЬ У ГЛУБОКОГО БАССЕЙНА С ВОДОЙ. ВЫ ХОТИТЕ ПОПРОБОВАТЬ И ПОИСКАТЬ?
168|YOU DIVE INTO THE POOL AND BEGIN TO SEARCH BY TOUCH. SUDDENLY BEFORE YOUR CLOUDED VISION YOU SEE SOME LIZARD MEN...|ВЫ НЫРЯЕТЕ В БАССЕЙН И НАЧИНАЕТЕ ПОИСК НА СИНЕМУ. ВНЕЗАПНО ПЕРЕД ОБЛАЧНЫМ ВИДЕНИЕМ ВЫ УВИДИТЕ НЕКОТОРЫЕ ЯЩЕРКИ ...
169|YOU MANAGE TO GET OUT OF THE POOL BEFORE THEY FINISH YOU OFF.|ВАМ УСПЕХИВАЕТСЯ ВЫБРАТЬСЯ ИЗ БАССЕЙНА ДО того, как ОНИ ЗАКОНЧИТ ВАС.
170|BEFORE THEY CAN RETURN TO THE WATER YOU ENGAGE THEM. THEY TURN AND FIGHT FANATICALLY.|ПРЕЖДЕ ЧЕМ ОНИ ВОЗВРАЩАЮТСЯ К ВОДЕ, ВЫ ЗАНИМАЙТЕ ИХ. ОНИ ФАНАТИЧЕСКИ ПЕРЕВОРАЧИВАЮТСЯ И БОРЬТСЯ.
171|A GROUP OF HUMANS WERE DESCRIBED TO ME BY THREE OF OUR PEOPLE WHOM THEY RESCUED. IF YOU ARE THEY YOU WILL HAVE BEEN SHOWN OUR TRIBAL FRIEND-WORD.|ГРУППУ ЧЕЛОВЕК БЫЛИ ОПИСАНЫ МНЕ ТРИ НАШИ ЛЮДЕЙ, КОТОРЫЕ ОНИ СПАСИЛИ. ЕСЛИ ВЫ ОНИ, ВАМ БУДЕТ ПОКАЗАНО НАШЕ СЛОВО ДРУЗЬЯ.
172|WHAT IS IT?|ЧТО ЭТО?
173|DO YOU REALLY MEAN |ВЫ ДЕЙСТВИТЕЛЬНО ЗНАЧИТЕ
174|?|?
175|SAVIOR|СПАСИТЕЛЬ
176|'YOU ARE NOT THEY WHO RESCUED MY CHILDREN, BUT ARE MURDEROUS PIRATES! THEN YOU ARE NOT SAFE HERE!' HE DISAPPEARS WITH AMAZING SPEED INTO THE WILDERNESS AROUND YOU.|"ВЫ НЕ ОНИ СПАСИЛИ МОИХ ДЕТЕЙ, А ЯВЛЯЮТСЯ УБИЙСТВЕННЫМИ ПИРАТАМИ! ТОГДА ЗДЕСЬ ТЫ НЕ В БЕЗОПАСНОСТИ! ' Он с удивительной скоростью исчезает в дикой природе вокруг вас.
177|2 LIZARD MEN AND A GIANT LIZARD CHARGE AT YOU.|2 Ящерицы и гигантская ящерица атакуют вас.
178|SUDDENLY YOU ARE ATTACKED BY TWO LIZARD MEN AND A GIANT LIZARD!|ВНЕЗАПНО НА ВАС НАПАДАЮТСЯ ДВА ЯЩЕРИЦА И ГИГАНСКАЯ ЯЩИЦА!
179|3 GIANT LIZARDS CHARGE TOWARD YOU.|3 ГИГАНТСКИХ ЯЗЫЧИ НАПРАВЛЯЮТСЯ НА ВАС.
180|SUDDENLY 3 GIANT LIZARDS APPEAR FROM BEHIND A MOUND OF RUBBLE. YOU FREEZE A MOMENT AS THEY CHARGE YOU!|ВНЕЗАПНО 3 ГИГАНТСКИХ ЯЩЕРИЦА ВЫЯВЛЯЮТСЯ ИЗ-ЗА КУСОРА РЕЗИНЫ. ВЫ ЗАМОРАЖИВАЕТЕ МОМЕНТ, КАК ОНИ ЗАРЯДАЮТ ВАМ!
181|SUDDENLY LIZARD MEN JUMP UP FROM WHERE THEY WERE HIDING AND THROW JAVELINS AT YOU.|ВНЕЗАПНО ЧЕЛОВЕКИ-ЯЩАРИКИ ВЫПЫПЫВАЮТСЯ ОТ ГДЕ ОНИ И ЗАБРОСЫВАЮТ В ВАС ДЖАВЕЛИНЫ.
182| AT THE SAME TIME GIANT LIZARDS CHARGE OUT OF HIDDEN TUNNELS.| В ЭТО ЖЕ ВРЕМЯ ГИГАНТСКИЕ ЯЩИКИ ВЫРАЖАЮТСЯ ИЗ СКРЫТЫХ ТУННЕЛЕЙ.
183|YOU FIND SOME TREASURE.|ВЫ НАЙДЕТЕ НЕКОТОРЫЕ СОКРОВИЩА.
184|THE OLD LIZARD MAN RECOGNIZES THE WORD AND HIS LIPS PART IN A TOOTHY GRIN. YOU ALL GATHER CLOSE AS HE BEGINS HIS STORY.|СТАРИК-ЯЩЕРИЦА УЗНАВАЕТ СЛОВО И ГУБЫ В ЗУБНОЙ УХЛЫШКЕ. ВЫ ВСЕ СОБИРАЕТЕСЬ БЛИЗКО, КАК ОН НАЧИНАЕТ СВОЮ ИСТОРИЮ.
185|ONE OF YOU BUSILY SCRIBBLE IT INTO THE JOURNAL AS ENTRY 31.|ОДИН ИЗ ВАС ПРИСТУПИЛ ЭТО В ЖУРНАЛЕ ПРИ ЗАПИСИ 31.
186|FROM NEARBY A GROUP OF LIZARD MEN APPEAR. ONE LARGER THAN THE REST MOVES TO THE FRONT, 'YOUR TIME IS THROUGH OLD ONE. YOUR CLAWS ARE BLUNT.'|ИЗБИРАТЕЛЬНО ПОЯВЛЯЕТСЯ ГРУППА ЯЩЕРИЦ-МУЖЧИН. НА ОДИН БОЛЬШЕ, ЧЕМ ОТДЫХ, ДВИГАЕТСЯ НА ФРОНТ, "ВАШЕ ВРЕМЯ ЧЕРЕЗ СТАРОЕ. У ВАС Тупые когти.
187|'FACE ME OR FIND SOME FOOL TO CHAMPION YOU!' THE OLD LIZARD MAN TURNS TO YOU AND SAYS, 'OUR CAUSE IS ONE. WILL YOU CHAMPION ME?'|"ПОСМОТРЕТЬ МЕНЯ ИЛИ НАЙТИ ДУРАКА ДЛЯ ВАС ЧЕМПИОНА!" СТАРИК-ЯЩЕРИЦА ОБРАЩАЕТСЯ К ВАМ И ГОВОРИТ: "НАША ПРИЧИНА ОДНА. БУДЕТЕ ЛИ ВЫ МЕНЯ ЧЕМПИОНОМ?
188|WHO WILL BE MY CHAMPION?|КТО БУДЕТ МОЕМ ЧЕМПИОНОМ?
189|PLEASE, BE SERIOUS.|ПОЖАЛУЙСТА, БУДЬТЕ СЕРЬЕЗНЫ.
190|YOU SEARCH UNTIL YOU FEEL THE PULSE POUNDING IN YOUR EARS. NOTHING IS FOUND. WITH THAT YOU RESURFACE.|ВЫ ИЩЕТЕ, ПОКА НЕ ПОЧУВСТВУЕТЕ УЧАСТИЕ ПУЛЬСА В ВАШИХ УХАХ. НИЧЕГО НЕ НАЙДЕНО. ЭТИМ ВЫ ВОССТАНАВЛИВАЕТЕ.
191|'THEN I MUST FIGHT HIM MYSELF.' THE COMBAT IS EXTREMELY SHORT IN DURATION. WHEN IT IS FINISHED DRYTHH TURNS TO HIS FOLLOWERS, 'KILL THEM!'|"ТОГДА Я ДОЛЖЕН СРАЖАТЬСЯ С НИМ СЕБЯ". ДЛИТЕЛЬНОСТЬ БОЯ ЧРЕЗВЫЧАЙНО КОРОТКАЯ. КОГДА СУХОЕ ЗАВЕРШЕНО, ОБРАЩАЕТСЯ К ЕГО ПОСЛЕДОВАТЕЛЯМ, "УБИЙТЕ ИХ!"
192|SEEING THEIR LEADER FALL, THE OTHER LIZARD MEN WITHDRAW. THE OLD LIZARD MAN TURNS TO YOU, 'YOU HAVE DONE ME GREAT SERVICE. REST ASSURED THAT MY PEOPLE WILL NOT JOIN TYRANTHRAXUS.'|Увидев, что их лидер падает, другие люди-ящерицы уходят. СТАРИК-ЯЩЕРИЦА ОБРАЩАЕТСЯ К ВАМ: "ВЫ ПОЛУЧИЛИ МНЕ БОЛЬШУЮ УСЛУГУ. УБЕДИТЕСЬ, ЧТО МОИ ЛЮДИ НЕ ПРИСОЕДИНЯТСЯ К ТИРАНТРАКСУ.
193|'STILL MY PEOPLE STILL ARE HOSTILE TO STRANGERS. I THINK IT IS BEST IF YOU LEAVE.' HE TURNS AND DISAPPEARS INTO THE WILDERNESS.|"МОИ ЛЮДИ ЕЩЕ ВРАЧИВАЮТ К ЧУЖИЦАМ. Я ДУМАЮ, ЕСЛИ ВЫ УЕЗЖАЕТЕ, ЭТО САМОЕ ЛУЧШЕЕ ". Он превращается и исчезает в пустыне.
194|DRYTHH TURNS TO HIS CONFIDENT FOLLOWERS, 'KILL THEM!'|ДРАЙТ ОБРАЩАЕТСЯ К СВОИМ УВЕРЕННЫМ последователям: "УБИТЬ ИХ!"
