110|YOU ENTER THE ENORMOUS CAVE, SEARCH IT AND FIND NOTHING OF INTREST.  YOU THEN LEAVE.|ВЫ входите в огромную пещеру, исследуете ее и не находите ничего интересного. ВЫ ТОГДА УХОДИТЕ.
121|'I ACCEPT YOUR PLEDGE.  FOR YOUR FIRST DUTY, I COMMAND YOU TO RECOVER A POWERFUL MAGICAL BOTTLE FROM A KOBOLD SETTLEMENT IN THE HILLS FAR TO THE EAST.  THEN RETURN TO ME AND I SHALL GIVE YOU ANOTHER TASK.'|"Я ПРИНИМАЮ ВАШ ЗАЛОГ. ДЛЯ ВАШЕГО ПЕРВОГО ОБЯЗАННОСТИ Я приказываю вам вернуть МОЩНУЮ ВОЛШЕБНУЮ БУТЫЛКУ из поселения Кобольдов на холмах, далеко на восток. ТОГДА вернитесь ко мне, и я дам вам еще одну задачу ".
122|AFTER SPEAKING, THE DRAGON FLYS THROUGH AN OPENNING IN THE CEILING OF THE CAVE.  YOU EXIT THE CAVE TO CONTINUE YOUR QUEST.|ПОСЛЕ ГОВОРА ДРАКОН ПРОЛЕТАЕТ ЧЕРЕЗ ОТВЕРСТИЕ В ПОТОЛКЕ ПЕЩЕРЫ. ВЫ ВЫХОДИТЕ ИЗ ПЕЩЕРЫ, ЧТОБЫ ПРОДОЛЖИТЬ ПОИСК.
123|AS YOU ENTER THE CAVE YOU ARE GREETED BY DIOGENES, THE SILVER DRAGON.  HE SAYS 'I SEE YOU HAVE RECOVERED THE SILVER BOTTLE FROM THE KOBOLD CAVES.  I CONGRADULATE YOU.'|КАК ВЫ ВОЙДЕТЕ В ПЕЩЕРУ, ВАС ПРИВЕТСТВУЮТ ДИОГЕНЫ, СЕРЕБРЯНЫЙ ДРАКОН. ОН ГОВОРЯЕТ: "Я ВИДЕТЬ, ВЫ ПРИНЯЛИ СЕРЕБРЯНУЮ БУТЫЛКУ ИЗ ПЕЩЕР КОБОЛЬДОВ". ПОЗДРАВЛЯЮ ВАС ".
124|'THAT BOTTLE CONTAINS A POWERFUL EFREET WHO WAS SUMMONED TO KILL VAMPIRES.  HE WILL BE A VALUABLE ALLY IN OLD PHLAN.  IN VALHINGEN GRAVEYARD THERE IS A VAMPIRE.'|В ЭТОЙ БУТЫЛКЕ СОДЕРЖИТ МОЩНЫЙ EFREET, КОТОРЫЙ ПРИЗЫВАЛИ ДЛЯ УБИЙСТВА ВАМПИРОВ. ОН БУДЕТ ЦЕННЫМ СОЮЗНИКОМ В СТАРОМ ФЛАНЕ. НА ВАЛХИНГЕНСКОМ КЛАДГЕ ЕСТЬ ВАМПИР.
125|'WHEN YOU MEET THE VAMPIRE USE THE BOTTLE AND YOU MAY HAVE A CHANCE IN DEFEATING HIM.  I WISH YOU LUCK.'  AFTER SPEAKING DIOGENES FLIES THROUGH A HOLE IN THE CEILING AND DISSAPPEARS.|"КОГДА ВЫ ВСТРЕЧИЛИ ВАМПИРА, ИСПОЛЬЗУЙТЕ БУТЫЛКУ, И У ВАС МОЖЕТ ЕСТЬ ШАНС ПОБЕДИТЬ ЕГО. ЖЕЛАЮ ТЕБЕ УДАЧИ." ПОСЛЕ ГОВОРА ДИОГЕН ПРОЛЕТИТ В ОТВЕРСТИЕ В ПОТОЛКЕ И ИСЧЕЗДАЕТ.
126|PRESS <RETURN> OR BUTTON TO CONTINUE|НАЖМИТЕ ВОЗВРАТ ИЛИ КНОПКУ, ЧТОБЫ ПРОДОЛЖИТЬ
127|THE CHARACTERS HEAR A LOUD FLAPPING NOISE AND THEN A WARM RUSH OF AIR HITS THEIR FACES.  STANDING BEFORE YOU NOW IS A GREAT SILVER DRAGON.  HE SAYS, 'YOU ARE WISE TO SEEK MY COUNCIL AND I CAN HELP YOU...'|Персонажи слышат громкий хлопающий шум, а затем теплый поток воздуха ударяет по их лицам. СТОЯТ ПЕРЕД ВАМИ СЕЙЧАС - БОЛЬШОЙ СЕРЕБРЯНЫЙ ДРАКОН. ОН ГОВОРЕТ: "ВЫ МОЖЕТЕ ОБРАТИТЬСЯ К МОЕМУ СОВЕТУ, И Я МОГУ ВАМ ПОМОЧЬ ..."
128|'FAR TO THE EAST THERE IS A LARGE KOBOLD COMPLEX.  THERE IS A SILVER BOTTLE OF GREAT POWER THERE THAT WILL HELP YOU ON YOUR QUEST.  RETRIEVE THAT BOTTLE THEN RETURN AND I WILL SEND YOU ON ANOTHER QUEST.'|"ДАЛЕКО НА ВОСТОК ЕСТЬ БОЛЬШОЙ КОБОЛЬДСКИЙ КОМПЛЕКС. ЕСТЬ СЕРЕБРЯНАЯ БУТЫЛКА ВЕЛИКОЙ СИЛЫ, КОТОРАЯ ПОМОЖЕТ ВАМ В ВАШЕМ ПОИСКЕ. ПОЛУЧИТЕ ЭТУ БУТЫЛКУ, ЗАТЕМ ВОЗВРАЩАЮ, И Я ОТПРАВЛЯЮ ВАС НА ДРУГОЙ ЗАПРОС.
129|YOU HEAR A ROAR THEN A GREAT FLAPPING SOUND.  A STRONG RUSH OF AIR BATTERS THE PARTY AS A LARGE SILVER DRAGON LANDS BEFORE THE ADVENTURERS.  IN A BOOMING VOICE IT SAYS...|ВЫ СЛЫШАЕТЕ РЕВ, ТОГДА ОТЛИЧНЫЙ ЗВУК. СИЛЬНАЯ БОРЬБА ВОЗДУХА РАЗБИРАЕТ СТОРОНУ, КАК БОЛЬШОЙ СЕРЕБРЯНЫЙ ДРАКОН ПРИСАДИТСЯ ДО ПРИКЛЮЧАТЕЛЕЙ. ГРОМКИМ ГОЛОСОМ ГОВОРИТ ...
130|'YOU FOOLS.  I AM A GOOD SILVER DRAGON NOT THE EVIL LEADER OF PHLAN.  DON'T YOU KNOW THAT WE METALLIC DRAGONS ARE GOOD CREATURES?'  WHAT WILL YOU DO?|"ВЫ ДУРАКИ. Я ХОРОШИЙ СЕРЕБРЯНЫЙ ДРАКОН, А НЕ ЗЛОЙ ЛИДЕР ФЛАНА. НЕ ЗНАЕТЕ ЛИ ВЫ, ЧТО МЫ, МЕТАЛЛИЧЕСКИЕ ДРАКОНА - ХОРОШИЕ СОЗДАНИЯ? ЧТО ВЫ БУДЕТЕ ДЕЛАТЬ?
131|APOLOGIZE|ИЗВИНЯТЬСЯ
132|SLAY DRAGON|УБИТЬ ДРАКОНА
133|AFTER HEARING YOUR APOLOGY THE DRAGON SAYS, 'THOUGH YOU ARE FOOLISH I BELIEVE YOUR ACTS ARE NOBLE.  I WILL HELP YOU WITH YOUR QUEST TO CLEANSE THE CITY OF PHLAN FROM EVIL.'|Услышав твое извинение, ДРАКОН ГОВОРИТ: "ХОТЯ ТЫ ДУРАК, Я СЧИТАЮ, ЧТО ТВОИ ДЕЙСТВИЯ - благородные. Я ПОМОГУ ВАМ В ВАШЕМ ПОИСКАХ ОЧИСТИТЬ ГОРОД ФЛАН ОТ ЗЛА ".
134|FAR TO THE EAST THERE IS A LARGE KOBOLD COMMUNITY.  THEY HAVE POSSESION OF A POWERFUL SILVER BOTTLE.  THIS BOTTLE WILL HELP YOU RID THE CITY OF ITS UNDEAD PROBLEM.  GET THE BOTTLE THEN RETURN TO ME.|ДАЛЕКО НА ВОСТОК ЕСТЬ БОЛЬШАЯ СООБЩЕСТВО КОБОЛЬДОВ. У них ИМЕЕТСЯ МОЩНАЯ СЕРЕБРЯНАЯ БУТЫЛКА. ЭТА БУТЫЛКА ПОМОГАЕТ ВАМ ИЗБАВИТЬ ГОРОД ОТ НЕМЕРТНОЙ ПРОБЛЕМЫ. ПОЛУЧИТЕ БУТЫЛКУ, ЗАТЕМ ВЕРНИСЬ МНЕ.
135|THE CHARACTERS HEAR A LOUD FLAPPING NOISE AND THEN FEEL A WARM JET OF AIR HIT THEIR FACES.  A HUGE SILVER DRAGON FLIES DOWN TO MEET THEM.|Персонажи слышат громкий хлопающий шум, а затем чувствуют, как теплая струя воздуха попадает в их лица. ОГРОМНЫЙ СЕРЕБРЯНЫЙ ДРАКОН ПРИНИМАЕТСЯ К ИХ.
136|THE DRAGON LANDS, LOOKS THE PARTY OVER THEN SAYS 'YOU HAVE NOTHING THAT INTRESTS ME.  IF YOU WISH TO APEASE ME THEN GO EAST AND DESTROY THE KOBOLD COMMUNITY THERE.'|ДРАКОН ПРИЗЕМЛЯЕТСЯ, СМОТРИТ НА СТОРОНУ, ПОТОМ ГОВОРИТ: "У ВАС НИЧЕГО НЕ ЗАНИМАЕТСЯ МЕНЯ. ЕСЛИ ВЫ ХОТИТЕ МЕНЯ УБЕДИТЬ, ПОЙДИТЕ НА ВОСТОК И УНИЧТОЖАЙТЕ ЗДЕСЬ СООБЩЕСТВО Кобольдов ".
137|'THERE YOU SHALL FIND A MAGICAL BOTTLE WHICH WILL HELP YOU IN CLEANSING OLD PHLAN OF ITS EVIL!'|"ТАМ ВЫ НАЙДЕТЕ ВОЛШЕБНУЮ БУТЫЛКУ, КОТОРАЯ ПОМОЖЕТ ВАМ ОЧИСТИТЬ СТАРЫЙ ФЛАН ОТ ЕГО ЗЛА!"
138|AS YOU READY YOUR WEAPONS TO ATTACK.  THE DRAGON TAKES FLIGHT AND ROARS, 'EVIL CREATURES, BEGONE FROM MY LAIR.'  HE THEN FLIES UP THROUGH A HOLE IN THE CEILING.|КАК ВЫ ГОТОВИТЕ СВОЕ ОРУЖИЕ К АТАКЕ. ДРАКОН УБИВАЕТСЯ И РЕВЕТ: "ЗЛО СОЗДАВАЕТСЯ ИЗ МОЕГО ЛОГА". ЗАТЕМ ОН ВЛЕТЕТ ЧЕРЕЗ ДЫРУ В ПОТОЛКЕ.
139|YOU MAY EASILY FOLLOW THE DRAGON BY CLIMBING UP A WALL AND THEN THROUGH THE HOLE IN THE CEILING.  WHAT WILL YOU DO?|ВЫ МОЖЕТЕ ЛЕГКО СЛЕДИТЬ ЗА ДРАКОНОМ, ЗАБИРАЯСЬ НА СТЕНУ, А ЗАТЕМ ЧЕРЕЗ ДЫРУ В ПОТОЛКЕ. ЧТО ВЫ БУДЕТЕ ДЕЛАТЬ?
140|FOLLOW DRAGON|ПОСЛЕДУЮЩИЕ ДРАКОНА
141|LEAVE|ПОКИНУТЬ
142|YOU CLIMB TO THE SECOND LEVEL OF THE DRAGON'S DEN.  THERE IS THE DRAGON WAITING FOR YOU.  HE LOOKS EXTREMELY MAD!  WHAT WILL YOU DO?|ВЫ ПОДНИМАЕТЕСЬ НА ВТОРОЙ УРОВЕНЬ ДРАКОНСКОЙ ЛОНИИ. ВАС ЖДЕТ ДРАКОН. ОН ВЫГЛЯДИТ ЧРЕЗВЫЧАЙНО С ума сошел! ЧТО ВЫ БУДЕТЕ ДЕЛАТЬ?
143|ATTACK|АТАКА
144|LEAVE|ПОКИНУТЬ
145|YOU TRY TO ATTACK THE DRAGON BUT SEEM TO BE FROZEN IN TIME.  THE DRAGON THROWS A FIREBALL IN THE MIDDLE OF THE PARTY AND THEN DISAPPEARS.  YOU HAVE A STRANGE FEELING THAT YOU JUST MADE A BIG MISTAKE.|ВЫ ПЫТАЕТЕСЬ НАПАДАТЬ НА ДРАКОНА, НО ВРЕМЯ ЗАМЕРЗИЛАСЬ. ДРАКОН БРОСАЕТ БОЛЬШОЙ ШАР В СРЕДНЕМ СТОРОНЕ И ПОСЛЕ УЧАСТИЯ. У ВАС СТРАННОЕ ЧУВСТВО, ЧТО ВЫ ПРОСТО СДЕЛАЛИ БОЛЬШУЮ ОШИБКУ.
146|AFTER RECOVERING FROM THE FIREBALL YOU SEARCH THE REST OF THE LAIR AND FIND NOTHING OF INTREST.|ПОСЛЕ ВОССТАНОВЛЕНИЯ ФАЙРБОЛА ВЫ ИЩЕТЕ ОСТАЛЬНУЮ ЛОГА И НИЧЕГО НЕ НАЙДЕТЕ.
